i don t regret a thing .	aku tidak menyesali apapun .
he got rich quickly .	dia kaya dengan cepat .
he refused to shake hands .	ia menolak berjabat tangan .
take him away .	bawa dia pergi .
that factory produces toys .	pabrik itu memproduksi mainan .
that s not possible .	itu mustahil .
when was the last time you rode your bicycle to school ?	kapan terakhir kali kamu pergi ke sekolah dengan sepeda ?
the food is decent .	makanannya lumayan .
the boxer got up on the count of nine .	petinju itu bangun pada hitungan kesembilan .
would you mind shutting the door ?	bisa tolong anda tutup pintunya ?
i really need your help .	aku sangat membutuhkan bantuanmu .
he s the manager of the marketing department .	dia manajer dari departemen pemasaran .
how can i write faster ?	bagaimana saya bisa menulis dengan lebih cepat ?
she s in the bathroom .	dia di kamar mandi .
the problem is we don t know anything .	masalahnya kita tidak tahu apa apa .
you can go wherever you want .	kamu bisa pergi kemana pun kamu mau .
let me pay .	biarkan saya yang membayar .
do you have a similar saying in japanese ?	apakah ada pepatah yang mirip dalam bahasa jepang ?
don t eat it , ok ?	jangan dimakan , ya ?
tom is mary s mentor .	tom adalah mentor mary .
i told tom i could do it by myself .	aku memberitahu tom kalau aku bisa melakukannya sendiri .
he and i walked together .	dia dan aku berjalan bersama sama .
what s so hard ?	apa susahnya , sih ?
your english is improving .	bahasa inggrismu meningkat .
i was born on june 4 , 1974 .	aku lahir pada tanggal 4 juni 1974 .
i don t know anything about tom s past .	aku tidak tahu apa apa tentang masa lalu tom .
we ran out of cheese .	kita kehabisan keju .
i can t let you do that and that s all there is to it .	aku tidak bisa membiarkanmu melakukannya . titik .
good morning .	selamat pagi .
tom is alone with mary .	tom sedang berduaan dengan mary .
any student can answer that question .	semua siswa bisa menjawab pertanyaan itu .
i m not married yet .	aku belum menikah .
today is tom s birthday .	hari ini ulang tahun tom .
this isn t our train .	ini bukan kereta kita .
koko is a female gorilla .	koko seekor gorila betina .
tom likes surfing .	tom senang berselancar .
this isn t enough .	ini tidak cukup .
would you like to come ?	apakah anda akan datang ?
this is ridiculous .	ini konyol .
i have to use the bathroom .	saya harus pergi ke kamar mandi .
tom has meningitis .	tom menderita penyakit meningitis .
i have but one wish .	aku hanya punya satu permintaan .
i ll be in my car .	aku ada di dalam mobil .
there are no roses without thorns .	tidak ada mawar yang tidak berduri .
this baby is 3 weeks old .	bayi ini usianya tiga minggu .
tom raised the three children by himself .	tom mengasuh tiga anak sendirian .
we both have the same name .	kita berdua punya nama yang sama .
would you like another cup of coffee ?	anda ingin segelas kopi lagi ?
this box is very heavy .	kotak ini sangat berat .
he likes listening to the radio .	dia suka mendengarkan radio .
let s find a solution that is acceptable to everyone .	mari cari solusi yang bisa diterima semua orang .
when my wife finds out , she won t be happy .	ketika istriku mengetahuinya , dia tidak akan senang .
everyone was dressed like a clown .	semua orang berdandan seperti badut .
no one knows where he lives .	tidak ada yang tahu dia tinggal di mana .
i can t remember the melody of that song .	saya tidak bisa mengingat melodi lagu itu .
tom kissed mary and she slapped him .	tom mencium mary dan mary pun menamparnya .
tom came by this morning .	tom datang pagi ini .
what do you want to know about boston ?	apa yang ingin anda ketahui tentang boston ?
what made you change your mind ?	apa yang membuat pikiranmu berubah ?
why won t you talk to me , tom ?	kenapa kamu tidak mau berbicara denganku , tom ?
tom needs to follow my advice .	tom butuh mengikuti saran saya .
tom blamed mary .	tom menyalahkan mary .
leave the book where it was .	tinggalkan buku tersebut di tempat asalnya .
tom has confidence in mary .	tom percaya pada mary .
i just bought a new laptop .	saya baru saja membeli sebuah laptop baru .
the bomb will explode in 10 seconds .	bom akan meledak dalam waktu 10 detik .
please stop that .	tolong hentikan itu .
i wasn t looking for anything .	saya tidak mencari apa apa
there were no radios in those days .	tidak ada radio pada saat itu .
when are we eating ? i m hungry !	kapan kita makan ? saya lapar !
i always have a couple of beach towels in my car .	aku selalu punya beberapa handuk pantai di mobilku .
i m going downtown .	aku mau pergi ke pusat kota .
we were caught in a storm .	kami terperangkap dalam badai .
i didn t expect tom to be at the meeting .	aku tidak menyangka tom hadir dalam rapat .
i like art .	aku suka seni .
nobody understands me .	tidak ada yang memahamiku .
bless you .	terberkatilah dirimu .
we have a lot of homework .	pekerjaan rumah kami sangat banyak .
tom is mary s younger brother .	tom adalah adik laki laki mary .
what time is the plane scheduled to land ?	jam berapa rencana kedatangan pesawat ?
at last , i graduated from junior high school .	akhirnya saya lulus smp .
i didn t know your father had passed away .	saya tidak tahu kalau ayah anda telah meninggal dunia .
i didn t want the baby to catch a cold , so i closed the window .	aku menutup jendelanya supaya bayinya tidak terkena pilek .
if anybody could convince tom , it would be mary .	marylah satu satunya yang dapat membujuk tom .
he put his bag under the table .	dia meletakkan tasnya di bawah meja .
i guess the laundry isn t getting done tonight .	sepertinya , cuciannya tak akan selesai malam ini
how about taking a rest ?	mau istirahat ?
tom has lived in boston for most of his life .	tom sebagian besar hidupnya tinggal di boston
he will come this afternoon .	dia akan datang sore ini .
where are you bound ?	kamu menuju ke mana ?
have you changed your mind ?	apa kamu berubah pikiran ?
tom can no longer afford to live in the style he is accustomed to .	tom tidak lagi bisa hidup dengan gaya hidupnya yang biasa .
it happens to everyone .	itu terjadi pada semua orang .
tom stayed for a while .	tom tinggal selama beberapa waktu .
we have to stay healthy .	kita harus tetap sehat .
i ll only buy the car if they fix the brakes first .	aku baru akan membeli mobilnya jika mereka terlebih dahulu memperbaiki remnya .
that girl over there is my sister .	anak perempuan itu adalah saudaraku .
tell tom i don t like him .	beritahu tom aku tidak suka padanya .
we ve been friends ever since .	kami menjadi teman sejak saat itu .
i agree .	aku setuju .
does tom work here ?	apakah tom bekerja di sini ?
we went to the park to take pictures .	kami pergi ke taman untuk berfoto .
tom works with my father .	tom bekerja dengan ayahnya
i love video games .	saya suka permainan video .
where s the book ? it s on the table .	di mana bukunya ? di atas meja .
my father is not talkative .	ayahku tidak suka banyak bicara .
first of all , i must say this .	pertama tama , aku harus mengatakan ini .
tom is useless .	tom tidak berguna .
the golden gate bridge is made of iron .	jembatan golden gate terbuat dari besi .
i agree to this plan .	saya setuju pada rencana ini .
this building is going to be demolished .	gedung ini akan dirobohkan .
tom needs some flour .	tom membutuhkan tepung .
come soon .	datanglah segera .
this airplane is capable of carrying 40 passengers at a time .	pesawat ini mampu menampung 40 orang penumpang sekali terbang .
the more you have , the more you want .	nafsu tidak bertepi .
nature is full of mystery .	alam semesta penuh dengan misteri .
left alone , the baby began to cry .	tinggalkan sendiri , bayi itu mulai menangis .
those people are dangerous .	orang orang itu berbahaya .
life without love is just totally pointless .	hidup tanpa cinta sama sekali tidak bermakna .
we got lost on our way here .	kita tersesat dalam perjalanan ke sini .
tom is riding a bike .	tom sedang mengendarai sepeda .
a banker s life is difficult .	kehidupan seorang bankir itu sulit .
she came close to drowning .	dia hampir mati tenggelam .
sorry , sir , but this coupon is expired .	maaf pak , kupon ini sudah kedaluwarsa .
this is what he said .	inilah yang dia katakan .
i don t believe you . you re always lying .	aku tidak percaya padamu . kau selalu berbohong .
now everything s going smoothly .	sekarang semua berjalan lancar .
i can t concentrate with all this noise .	aku tidak bisa berkonsentrasi dengan semua kebisingan ini .
i don t know where he went .	aku tidak tahu ke mana dia pergi .
we only have three hours .	kita hanya punya tiga jam .
we re friends , aren t we ?	kita teman , kan ?
so what do you suggest ?	jadi apa yang kau sarankan ?
tom signed the document .	tom menandatangani dokumennya .
where are you ?	kamu di mana ?
let s get back inside .	ayo masuk kedalam kembali .
the tv won t turn on .	televisinya tidak mau menyala .
my name s on the list .	namaku ada di dalam daftar .
nobody wants to eat .	tidak ada yang mau makan .
for further information , see page 16 .	untuk informasi lebih lanjut , lihat halaman 16 .
the audience appeared bored .	para hadirin nampak bosan .
some of us hate it .	beberapa dari kami membencinya .
i know what i m saying .	aku tahu apa yang aku katakan .
how did you become a police officer ?	bagaimana kau bisa menjadi seorang polisi ?
we ve got a cash flow problem .	kami punya masalah arus kas .
i heard someone whistle .	aku mendengar seseorang bersiul .
he ran .	dia berlari .
tom likes surfing .	tom suka berselancar .
close your eyes , and listen carefully .	tutup matamu dan dengarkan baik baik .
i need to study .	aku perlu belajar .
he slipped while crossing the street .	dia terpeleset saat sedang menyeberang jalan .
what are you doing ?	kamu sedang apa ?
what have you been doing this week ?	apa saja yang kamu lakukan minggu ini ?
my grandfather died three years ago .	kakek saya meninggal 3 tahun yang lalu .
is this water okay to drink ?	apa air ini baik untuk diminum ?
this is how we make ice cream .	beginilah cara kami membuat es krim .
time to get up .	waktunya bangun .
tom sliced the banana with a knife .	tom memotong pisang itu dengan pisau .
i can talk about anything with my best friend .	aku bisa bercerita tentang banyak hal dengan sahabatku .
there is a fork missing .	ada garpu yang hilang .
i don t want to eat this .	saya tidak mau makan ini .
tom smiles .	tom tersenyum .
don t get drunk .	jangan mabuk !
we ll need more time .	kita akan membutuhkan waktu lebih .
results will be announced monday .	hasil akan diumumkan pada hari senin .
that was good .	itu tadi enak .
tom is a thirteen year old boy .	tom adalah anak laki laki berumur tiga belas tahun .
everything is great .	semuanya bagus .
tom tripped .	tom tersandung .
do you happen to have matches ?	apa kamu mempunyai korek ?
what s your favorite sport ?	apa olahraga favoritmu ?
didn t you and tom ever do that ?	bukankah kamu dan tom pernah melakukan hal itu ?
are you still at tom s ?	apakah kamu masih di tempat tom ?
tom knew that mary needed to buy a car .	tom tahu kalau mary perlu membeli mobil .
i eventually agreed .	akhirnya aku setuju .
please make sure that the door is locked .	tolong pastikan bahwa pintunya terkunci .
may i eat this hamburger ?	bolehkah saya memakan hamburger ini ?
tom couldn t go home .	tom tidak bisa pulang .
i can t believe what i m seeing .	aku tidak percaya dengan apa yang aku lihat .
the tea is hot .	tehnya panas .
i ve done nothing wrong .	aku tidak melakukan kesalahan apapun .
i love eggplant .	aku suka terung .
i think this is enough .	aku rasa ini cukup .
i m a hero .	aku pahlawan .
do you think tom looks like an old man ?	apa menurutmu tom terlihat seperti orang tua ?
i m very sorry , but we can t let you out .	maafkan saya , tetapi kami tidak dapat mengeluarkanmu .
it s three .	sekarang jam tiga .
you are always complaining .	kamu selalu saja mengeluh .
she bought the dictionary , too .	dia membeli kamus itu juga .
the reason will never be known .	alasannya tidak akan pernah diketahui .
tom took aim and fired a warning shot .	tom membidik dan menembakkan tembakan peringatan .
where are you off to ?	anda akan pergi ke mana ?
tom was confused by the question .	tom dibingungkan oleh pertanyaan itu .
the cat is sleeping on the sofa .	kucing itu sedang tidur di sofa .
the last time that happened , tom , was just before you started to dig the big tunnel .	terakhir kali hal itu terjadi , tom , tepat sebelum kamu mulai menggali terowongan besar .
tom is cooking .	tom sedang memasak .
have you ever eaten sea urchin ?	pernahkah kamu makan bulu babi ?
turn to the right .	belok ke kanan .
i m reasonable .	aku orang yang rasional .
i don t think you realize what you re saying .	aku tidak yakin kalau kau sadar akan apa yang kau katakan .
it s just a matter of time .	ini hanya masalah waktu .
i m scared .	aku takut .
tom retired from coaching in 2013 .	tom berhenti melatih pada tahun 2013
write your address here .	tulis alamatmu di sini .
a time bomb went off in the airport killing thirteen people .	bom waktu yang meledak di dalam bandara itu menewaskan tiga belas orang .
the train came on time .	keretanya tiba tepat waktu .
we need to speak with you .	kami perlu bicara dengan anda .
my hobby is skiing .	hobi saya bermain ski .
why don t you kiss me anymore ?	kenapa kamu tidak menciumku lagi ?
this bed isn t comfortable .	tempat tidur ini tidak nyaman .
he s not in yet .	dia masih belum ada .
don t eat too many hot dogs .	jangan makan hot dog terlalu banyak .
i don t really approve of gambling .	aku tidak begitu setuju dengan perjudian .
tom says you re a genius .	tom bilang kamu jenius .
i think my suitcase was stolen .	sepertinya koper saya telah dicuri .
i would love to see it .	saya ingin melihatnya .
do you know who they are ?	tahukah anda siapa mereka itu ?
tom is my assistant .	tom adalah asisten saya .
is this love ?	apakah ini cinta ?
no one cares .	tidak ada yang peduli .
i don t want to speak ill of the dead .	aku tidak mau berbicara buruk tentang orang yang sudah mati .
let s talk about your work .	mari kita membicarakan tentang pekerjaanmu .
i forgot to ask him .	saya lupa bertanya padanya .
how long will you stay here ?	berapa lama kau akan tinggal di sini ?
no one knows his name .	tidak ada yang mengetahui namanya .
don t beat your head against a stone wall .	jangan benturkan kepalamu ke tembok batu .
tom hasn t had a fight with anybody lately .	tom tidak berkelahi dengan siapa pun akhir akhir ini .
we don t see each other very often .	kami tidak terlalu sering bertemu .
that won t happen .	itu tidak akan terjadi .
i think my exam went well .	aku rasa ujianku tadi berjalan lancar .
don t just eat fish . eat meat , too .	jangan hanya makan ikan , makan daging juga .
the sun is larger than the moon .	matahari lebih besar daripada bulan .
i didn t think you d be busy this morning .	saya pikir kamu sibuk pagi ini .
he gathered the courage to decline the offer .	dia mengumpulkan keberanian untuk menolak tawaran itu .
i don t remember tom s last name .	aku tidak ingat nama belakang tom .
when i woke up , he was gone .	ketika aku bangun , dia sudah pergi .
it was confidential .	itu rahasia .
tom has a decent salary .	tom punya gaji yang lumayan .
tom says he didn t know mary wasn t able to swim .	tom bilang dia tidak tahu kalau mary tidak bisa berenang .
why can t we go visit tom ?	kenapa kita tidak bisa mengunjungi tom ?
i want to tell you something .	saya ingin memberi tahu anda sesuatu .
it s ridiculous .	ini konyol .
tom really likes basketball a lot .	tom sangat menyukai bermain basket .
tom and mary were talking to each other .	tom dan mary saling berbicara .
where is the bus stop ?	di mana halte busnya ?
there are some books on the desk .	ada beberapa buku di atas meja .
are you taking any medicine regularly ?	apakah anda mengonsumsi obat obatan tertentu secara rutin ?
try to keep from crying .	cobalah untuk tidak menangis .
she makes it a rule to read a newspaper after breakfast .	dijadikan peraturan baginya untuk membaca surat kabar setelah sarapan .
you go first .	kamu duluan .
do you have a piece of paper i can write on ?	ada kertas yang bisa kutulisi ?
you can t blame her for what she did .	kamu tidak bisa menyalahkan dia karena apa yang dia lakukan .
i ll give you something .	aku akan memberikanmu sesuatu .
the guests will arrive soon .	para tamu akan segera tiba .
your time is up .	waktumu sudah habis .
what did he look up ?	apa yang dia cari ?
this line is parallel to that .	garis ini sejajar dengan garis itu .
i m going shopping . do you want to come with me ? yes .	aku mau pergi belanja . kamu mau ikut ? ya !
what is your name ?	siapa nama anda ?
do you remember how tom reacted the first time that you told him you and mary were hanging out together ?	kamu ingat gimana reaksi tom waktu pertama kali kamu kasih tahu dia soal kamu dan mary keluar bareng ?
don t leave me here .	jangan tinggalkan aku di sini .
what s your favorite flower ?	apa bunga kesukaanmu ?
tom had to have open heart surgery .	tom harus menjalani operasi pembukaan jantung .
the child soon fell asleep in the bed .	anak itu seketika tertidur di ranjangnya .
you are taller than me .	kamu lebih tinggi dariku .
how serious is this problem ?	seserius apa masalah ini ?
the skirt is green .	roknya berwarna hijau .
please come in .	silakan masuk .
aren t you sick of eating here ?	apa kau tidak jenuh terus terusan makan di sini ?
i smoke .	saya merokok .
tom asked mary to quit her job .	tom meminta mary untuk berhenti bekerja .
she s not my sister . she s my wife .	dia bukan kakakku , dia istriku .
do you see that ?	apa kamu melihatnya ?
the nile is the longest river in the world .	sungai nil adalah sungai terpanjang di dunia .
i ve written about 3 , 000 words so far .	aku sudah menulis sekitar 3 . 000 kata sejauh ini .
this box is empty . it has nothing in it .	kotak ini kosong . tidak ada apapun di dalamnya .
english is a global language .	bahasa inggris adalah bahasa global .
tom adores mary .	tom sangat mencintai dan menyayangi mary .
tom is polite .	tom itu ramah .
why would you want to do that ?	mengapa kamu mau melakukannya ?
he is good at tennis .	dia pandai bermain tenis .
my family is a large one .	keluargaku keluarga besar .
i hadn t bargained on such a heavy traffic jam .	aku tidak bisa tawar menawar dengan kemacetan yang parah seperti ini .
what did you do over the weekend ?	apa yang kau lakukan di akhir pekan ?
are you happy ?	apa anda bahagia ?
i felt like an idiot .	aku merasa seperti orang bodoh .
that isn t your decision .	itu bukan keputusanmu .
i can t write that .	aku tidak boleh menulis itu .
i don t think anything changes .	aku pikir tidak ada yang berubah .
i don t like the dark .	saya tidak suka kegelapan .
you re innocent .	kamu tidak bersalah .
that book is available in only one store .	buku itu tersedia hanya di satu toko .
tom looks shocked .	tom terlihat syok .
let s pretend this didn t happen .	mari kita anggap ini tidak terjadi .
is there a problem ?	apakah ada masalah ?
he wears pajamas .	dia memakai piama .
what sport do you like best ?	olahraga apa yang paling anda sukai ?
close your book .	tutup bukumu .
i was just pretending i was sleeping .	aku hanya berpura pura sedang tidur .
tom s thirsty .	tom kehausan .
tom hurt his leg .	kaki tom terluka .
we ve got major problems .	kami mendapat masalah besar .
i don t care for eggs .	aku tidak suka telur .
tom seems upset .	tom sepertinya sedih .
skip the boring chapters .	loncati saja bab bab yang membosankan .
i want this garbage out of here .	saya mau sampah ini dibuang .
the plane took off at exactly ten o clock .	pesawat itu lepas landas tepat pukul sepuluh .
open the box .	buka kotak itu .
tom offered his seat to an old lady .	tom menawarkan kursinya kepada seorang nenek .
i hope i can get tom out of jail .	saya harap saya bisa mengeluarkan tom dari penjara .
i understood what she said .	saya dapat mengerti apa yang dia katakan .
i m happy to hear that .	saya senang mendengar hal itu .
i m not ready to die yet .	aku belum siap untuk mati .
why did you stop ?	kenapa kau berhenti ?
i wish i were dead .	aku harap aku mati .
he has just come back .	dia baru saja balik .
do you like italian food ?	apakah anda suka makanan italia ?
when was the last time you used a ruler ?	kapan terakhir kali kamu menggunakan penggaris ?
this book still hasn t been translated into french .	buku ini masih belum diterjemahkan ke bahasa prancis .
tom leaned against the locker .	tom bersandar pada loker .
they don t have a car .	mereka tidak punya mobil .
i felt very sad .	aku merasa sangat sedih .
i wash my face every morning .	aku mencuci muka setiap pagi .
tom is handcuffed .	tom diborgol .
they re very cheerful people .	mereka merupakan orang orang yang ceria .
tom won t forgive you .	tom tidak akan memaafkanmu .
we can t sell that bracelet .	kita tidak bisa menjual gelang itu .
is that a common name ?	apakah itu nama yang umum ?
this house is mine .	rumah ini milik saya .
i lived here for three years .	saya tinggal di sini selama tiga tahun .
i can read english .	saya bisa membaca bahasa inggris .
you disappointed me .	kamu membuatku kecewa .
i d like to know who took those pictures .	aku ingin tahu siapa yang mengambil foto foto itu .
you are responsible for the death of the child .	kalian bertanggung jawab atas kematian anak itu .
you should start doing that today .	kamu harus mulai melakukan itu hari ini .
it s an infectious disease .	ini penyakit menular .
i m lost .	saya tersesat .
can we get tom to do that ?	apakah kita bisa membuat tom melakukan itu ?
i ll have to take my chances .	aku akan mencoba peruntunganku .
my father didn t allow me to study in the usa .	ayahku tidak mengizinkanku belajar di as .
do what you think is right .	lakukan apa yang kamu pikir benar .
fish is expensive .	ikan itu mahal .
did you have fun ?	apa kau bersenang senang ?
tom said he ll call you later .	tom berkata dia akan menghubungi kamu kembali .
you don t know him at all .	kamu tidak mengenalnya sama sekali .
tom sang .	tom bernyanyi .
we met at the door of my house .	kami bertemu di depan pintu rumahku .
he began to feel ill .	dia mulai merasa sakit .
i m going out for a while .	saya pergi keluar sebentar .
this is the last straw .	ini yang terakhir .
i prefer modern furniture .	aku lebih suka mebel modern .
i ve been to the bank .	aku baru saja pergi ke bank .
tom has been awful .	tom sedang tidak bahagia .
it s exactly as you say it is .	tepat seperti apa yang anda katakan .
i love dessert .	saya suka makanan penutup .
i hate interviews .	aku benci wawancara .
they did not like the way he gave orders to everyone .	mereka tidak senang dengan caranya memberikan perintah .
i know your name .	aku tahu namamu .
at least i ll die happy .	setidaknya aku akan mati bahagia .
were you the one who told tom that he could probably do that ?	apa kamu yang memberi tahu tom kalau dia bisa saja melakukannya ?
there s a well there .	ada sumur di sana .
avoid oversized portions .	hindari porsi yang terlalu besar .
i ve been up most of the night .	aku telah terjaga sepanjang malam .
tom ironed his clothes .	tom menyetrika pakaiannya .
you re not my mom .	kamu bukan ibuku .
thank you for your answer .	terima kasih untuk jawaban anda .
this song is very popular in japan .	lagu ini sangat populer di jepang .
he seems to be lying .	sepertinya dia berbohong .
a bird soared above .	seekor burung melayang di atas .
i think so , too .	aku juga berpikir begitu .
tom is curious .	tom penasaran .
do i have your word on that , tom ?	dapatkah saya mempercayai perkataanmu terhadap itu , tom ?
singing is difficult .	bernyanyi itu sulit .
my hobby is playing the piano .	hobiku bermain piano .
i like that purple shirt .	aku suka kemeja ungu itu .
that s a bit weird .	itu agak aneh .
my hair is a mess .	rambutku berantakan .
tom stirred his coffee with a spoon .	tom mengaduk kopinya dengan sebuah sendok .
tom has never actually taught french .	sebenarnya , tom tidak pernah mengajar bahasa prancis .
many thanks .	makasih banyak .
tom works every day except sunday .	tom bekerja setiap hari kecuali hari minggu .
what time should i wake you up ?	jam berapa aku harus membangunkanmu ?
let s do it tonight .	mari kita lakukan malam ini .
i don t feel well .	aku sedang tidak enak badan
what s the cause ?	apa penyebabnya ?
when is tom arriving ?	kapan tom akan tiba ?
i like red roses .	aku suka mawar merah .
peel the apple .	kupaslah apel .
tom doesn t want to play golf with mary .	tom tidak ingin bermain golf dengan mary .
i need to use the bathroom .	saya harus pergi ke kamar mandi .
tom decided to quit smoking .	tom memutuskan untuk berhenti merokok .
who elected you ?	siapa yang memilihmu ?
tom doesn t play golf .	tom tidak bermain golf .
tom doesn t need to worry anymore .	tom tidak perlu lagi khawatir .
this fork is made of plastic .	garpu ini terbuat dari plastik .
kenya became independent in 1963 .	kenya merdeka pada tahun 1963 .
my mother is writing a letter now .	ibu saya sekarang sedang menulis surat .
there are no health risks .	tidak ada resiko resiko kesehatan .
tom is mad about you .	tom marah kepadamu .
silence is golden .	dikulum menjadi manikam , dimuntahkan menjadi sekam .
tom has lots of acquaintances but very few friends .	tom kenalannya banyak tapi temannya sedikit .
my father is busy .	ayahku sibuk .
that s the only possibility .	hanya itu kemungkinannya .
he lost everything .	dia kehilangan semuanya .
what time will you be leaving ?	kau akan berangkat jam berapa ?
so what did you think ?	jadi bagaimana menurutmu ?
tom blacked out .	tom pingsan .
if tom wants to go , let him .	jika tom ingin pergi , biarkan saja .
where is customs ?	di mana bea cukai ?
who is that boy ?	siapa anak itu ?
tom kicked mary repeatedly .	tom menendang mary berkali kali .
it is difficult to ascertain what really happened .	susah memastikan apa yang benar benar terjadi .
i m sure tom will pass the exam .	aku yakin tom akan lulus ujian .
tom looks busy , doesn t he ?	bukankah tom terlihat sibuk ?
the river is 35 meters across .	lebar sungai itu adalah 35 meter .
tom refused to let go .	tom menolak untuk melepas .
all the members were not present at the meeting yesterday .	semua anggota tidak menghadiri rapat kemarin .
i can t even remember what my name is .	aku bahkan tidak bisa mengingat siapa namaku .
i bought a hat at the store .	aku membeli topi di toko itu .
how are your parents ?	bagaimana kabar orang tuamu ?
i heard her sing a song .	saya mendengar dia menyanyikan sebuah lagu .
have you forgotten about me ?	apakah kau telah melupakanku ?
tom and mary played ping pong .	tom dan mary bermain pingpong .
i forgot to tell tom why i didn t do that .	saya lupa memberitahu tom mengapa saya tidak melakukannya .
my hair is still wet .	rambutku masih basah .
the answer was incorrect .	jawabannya salah .
you haven t changed at all .	kau tidak berubah sama sekali .
you re a murderer .	kau seorang pembunuh .
put your hands up .	angkat tanganmu .
they laughed at me .	mereka menertawakanku .
thanks for your quick reply .	terima kasih telah membalasnya dengan cepat .
i ll never forsake you .	aku takkan pernah meninggalkanmu .
it was quite fantastic .	itu cukup luar biasa .
what is my purpose ?	apa tujuan yang ingin aku capai ?
there s been a lot of rain this summer .	musim panas ini banyak turun hujan .
is this some kind of practical joke ?	apa ini lelucon ?
i don t understand .	aku tidak paham .
i am a muslim .	saya seorang muslim .
that s very suspicious .	itu sangat mencurigakan .
tom had a very bad day .	tom menghadapi hari yang sangat buruk .
what would cause this ?	apa yang menyebabkan ini terjadi ?
they embraced each other .	mereka saling berpelukan .
tom had a fight with mary .	tom bertengkar dengan mary .
the snow lasted for two days .	saljunya bertahan hingga 2 hari .
he doesn t understand me .	dia tidak memahamiku .
do you like carrots ?	kamu suka wortel ?
you could ve done it .	kau harusnya bisa melakukannya .
tom likes to listen to classical music .	tom suka mendengarkan musik klasik .
do you feel sick ?	apa kamu merasa sakit ?
i want to eat fried rice .	saya mau makan nasi goreng .
i watch television .	aku menonton tv .
tom has just come back from boston .	tom baru saja kembali dari boston .
my watch keeps very good time .	jamku sangat akurat .
don t blink .	jangan berkedip !
you can go wherever you want to .	kamu bisa pergi kemana pun kamu mau .
all three of us need to go to that meeting .	kita bertiga harus menghadiri rapat itu .
your armpits stink .	ketiakmu bau .
see you !	sampai jumpa !
i eat bananas .	aku makan pisang .
i want to buy a dog .	aku ingin membeli anjing .
sorry , i can t stay for long .	maaf , saya tidak bisa tinggal lebih lama .
you re sleepy .	kamu ngantuk .
i don t believe you .	aku tidak mempercayaimu .
